3576022	Saint John’s	AG	17.11717	-61.84573	America/Antigua
3859384	Diamante	AR	-32.06641	-60.63837	America/Argentina/Cordoba
3859512	Deán Funes	AR	-30.42036	-64.34984	America/Argentina/Cordoba
3859552	Cutral-Có	AR	-38.93424	-69.23052	America/Argentina/Salta
3859828	Cruz del Eje	AR	-30.72644	-64.80387	America/Argentina/Cordoba
3859904	Crespo	AR	-32.02873	-60.30658	America/Argentina/Cordoba
3859965	Cosquín	AR	-31.24508	-64.46563	America/Argentina/Cordoba
3860164	Coronel Suárez	AR	-37.45467	-61.93343	America/Argentina/Buenos_Aires
3860217	Coronda	AR	-31.97263	-60.91983	America/Argentina/Cordoba
3860259	Córdoba	AR	-31.4135	-64.18105	America/Argentina/Cordoba
3860443	Comodoro Rivadavia	AR	-45.86413	-67.49656	America/Argentina/Catamarca
3861056	Cipolletti	AR	-38.93392	-67.99032	America/Argentina/Salta
3861061	Cinco Saltos	AR	-38.82225	-68.06293	America/Argentina/Salta
3861344	Chivilcoy	AR	-34.89566	-60.01667	America/Argentina/Buenos_Aires
3861416	Chimbas	AR	-31.48333	-68.53333	America/Argentina/San_Juan
3861445	Chilecito	AR	-29.16195	-67.4974	America/Argentina/La_Rioja
3861678	Charata	AR	-27.21438	-61.18795	America/Argentina/Cordoba
3861953	Chacabuco	AR	-34.64167	-60.47389	America/Argentina/Buenos_Aires
3862144	Centenario	AR	-38.82955	-68.1318	America/Argentina/Salta
3862240	Caucete	AR	-31.65179	-68.28105	America/Argentina/San_Juan
3862254	Catriel	AR	-37.87907	-67.7956	America/Argentina/Salta
3862320	Castelli	AR	-25.94679	-60.61947	America/Argentina/Cordoba
3862351	Casilda	AR	-33.04417	-61.16806	America/Argentina/Cordoba
3862655	Carcarañá	AR	-32.85679	-61.15331	America/Argentina/Cordoba
3862738	Capitán Bermúdez	AR	-32.82262	-60.71852	America/Argentina/Cordoba
3862981	Cañada de Gómez	AR	-32.81636	-61.39493	America/Argentina/Cordoba
3863379	Caleta Olivia	AR	-46.43929	-67.52814	America/Argentina/Rio_Gallegos
3864331	Bell Ville	AR	-32.62591	-62.68873	America/Argentina/Cordoba
3864375	Bella Vista	AR	-27.03424	-65.30196	America/Argentina/Tucuman
3865086	Bahía Blanca	AR	-38.71959	-62.27243	America/Argentina/Buenos_Aires
3865385	Arroyo Seco	AR	-33.15489	-60.50863	America/Argentina/Cordoba
3865424	Arroyito	AR	-31.42022	-63.05002	America/Argentina/Cordoba
3865840	Añatuya	AR	-28.46064	-62.83472	America/Argentina/Cordoba
3866163	Alta Gracia	AR	-31.65292	-64.42826	America/Argentina/Cordoba
3866242	Allen	AR	-38.97736	-67.82714	America/Argentina/Salta
3866367	Alderetes	AR	-26.81667	-65.13333	America/Argentina/Tucuman
3866425	Albardón	AR	-31.43722	-68.52556	America/Argentina/San_Juan
3866496	Aguilares	AR	-27.4338	-65.61427	America/Argentina/Tucuman
6693230	Villa Santa Rita	AR	-34.61082	-58.481	America/Argentina/Buenos_Aires
7116866	Villa Mercedes	AR	-33.67571	-65.45783	America/Argentina/San_Luis
7647007	San Carlos de Bariloche	AR	-41.14557	-71.30822	America/Argentina/Salta
3577154	Oranjestad	AW	12.52398	-70.02703	America/Aruba
3577277	Babijn	AW	12.53333	-69.98333	America/Aruba
3577284	Angochi	AW	12.51667	-69.95	America/Aruba
3374036	Bridgetown	BB	13.1	-59.61667	America/Barbados
3579132	Gustavia	BL	17.89618	-62.84978	America/St_Barthelemy
3901178	Yacuiba	BO	-22.01643	-63.67753	America/La_Paz
3901301	Warnes	BO	-17.5	-63.16667	America/La_Paz
3901501	Villazón	BO	-22.08659	-65.59422	America/La_Paz
3901504	Villa Yapacaní	BO	-17.4	-63.83333	America/La_Paz
3901547	Villamontes	BO	-21.26235	-63.46903	America/La_Paz
3902202	Tupiza	BO	-21.44345	-65.71875	America/La_Paz
3902377	Trinidad	BO	-14.83333	-64.9	America/La_Paz
3903320	Tarija	BO	-21.53549	-64.72956	America/La_Paz
3903987	Sucre	BO	-19.03332	-65.26274	America/La_Paz
3904666	Santiago del Torno	BO	-17.98674	-63.38118	America/La_Paz
3904906	Santa Cruz de la Sierra	BO	-17.78629	-63.18117	America/La_Paz
3905658	San Ignacio de Velasco	BO	-16.36667	-60.95	America/La_Paz
3905792	San Borja	BO	-14.81667	-66.85	America/La_Paz
3906466	Riberalta	BO	-11.00654	-66.06312	America/La_Paz
3907080	Punata	BO	-17.54234	-65.83472	America/La_Paz
3907584	Potosí	BO	-19.58361	-65.75306	America/La_Paz
3909234	Oruro	BO	-17.98333	-67.15	America/La_Paz
3910027	Montero	BO	-17.33866	-63.2505	America/La_Paz
3910291	Mizque	BO	-17.94101	-65.34016	America/La_Paz
3911409	Llallagua	BO	-18.42426	-66.58388	America/La_Paz
3911925	La Paz	BO	-16.5	-68.15	America/La_Paz
3914839	Huanuni	BO	-18.289	-66.83583	America/La_Paz
3915350	Guayaramerín	BO	-10.83676	-65.36136	America/La_Paz
3918937	Cotoca	BO	-17.81667	-63.05	America/La_Paz
3919968	Cochabamba	BO	-17.3895	-66.1568	America/La_Paz
3919998	Cobija	BO	-11.02671	-68.76918	America/La_Paz
3922414	Camiri	BO	-20.03849	-63.51833	America/La_Paz
3513563	Kralendijk	BQ	12.15	-68.26667	America/Kralendijk
3384986	Vitória do Mearim	BR	-3.46222	-44.87056	America/Fortaleza
3384987	Vitória de Santo Antão	BR	-8.11806	-35.29139	America/Recife
3385022	Viseu	BR	-1.19667	-46.14	America/Belem
3385077	Conde	BR	-7.25972	-34.9075	America/Fortaleza
3385088	Vigia	BR	-0.85833	-48.14167	America/Belem
3385106	Viçosa do Ceará	BR	-3.56222	-41.09222	America/Fortaleza
3385109	Viçosa	BR	-9.37139	-36.24083	America/Maceio
3385122	Viana	BR	-3.22028	-45.00361	America/Fortaleza
3385467	Várzea Alegre	BR	-5.35	-40.38333	America/Fortaleza
3385504	Varjota	BR	-4.19444	-40.47667	America/Fortaleza
3385538	Vargem Grande	BR	-3.54306	-43.91583	America/Fortaleza
3385592	Valença do Piauí	BR	-6.4075	-41.74556	America/Fortaleza
3385742	União dos Palmares	BR	-9.16278	-36.03194	America/Maceio
3385745	União	BR	-4.58583	-42.86417	America/Fortaleza
3385922	Tuntum	BR	-5.25806	-44.64889	America/Fortaleza
3385935	Tucuruí	BR	-3.76585	-49.67923	America/Belem
3385980	Tucumã	BR	-0.18333	-50.05	America/Belem
3386042	Trindade	BR	-7.76194	-40.26778	America/Recife
3386177	Trairi	BR	-3.27778	-39.26889	America/Fortaleza
3386264	Toritama	BR	-8.00667	-36.05667	America/Recife
3386279	Tomé Açu	BR	-2.41889	-48.15222	America/Belem
3386361	Timon	BR	-5.09417	-42.83667	America/Fortaleza
3386372	Timbiras	BR	-4.25528	-43.94056	America/Fortaleza
3386396	Timbaúba	BR	-7.50528	-35.31833	America/Recife
3386449	Tianguá	BR	-3.73222	-40.99167	America/Fortaleza
3386496	Teresina	BR	-5.08917	-42.80194	America/Fortaleza
3386567	São João dos Inhamuns	BR	-6	-40.28333	America/Fortaleza
3386931	Tamandaré	BR	-8.75632	-35.09995	America/Recife
3387082	Tabira	BR	-7.59083	-37.53944	America/Recife
3387115	Surubim	BR	-7.83306	-35.75472	America/Recife
3387202	Sousa	BR	-6.75917	-38.22806	America/Fortaleza
3387204	Soure	BR	-0.71667	-48.52333	America/Belem
3387266	Solânea	BR	-6.755	-35.54	America/Fortaleza
3387296	Sobral	BR	-3.68611	-40.34972	America/Fortaleza
3387604	Sirinhaém	BR	-8.59083	-35.11611	America/Recife
3387663	Sertânia	BR	-8.07361	-37.26444	America/Recife
3387786	Serra Talhada	BR	-7.99194	-38.29833	America/Recife
3387926	Senador Pompeu	BR	-5.58806	-39.37167	America/Fortaleza
3387987	Satuba	BR	-9.56333	-35.82444	America/Maceio
3388145	São Raimundo Nonato	BR	-9.01528	-42.69944	America/Fortaleza
3388269	São Miguel dos Campos	BR	-9.78111	-36.09361	America/Maceio
3388270	São Miguel do Guamá	BR	-1.62667	-47.48333	America/Belem
3388318	São Mateus do Maranhão	BR	-4.04167	-44.475	America/Fortaleza
3388341	São Luís do Quitunde	BR	-9.31833	-35.56111	America/Maceio
3388368	São Luís	BR	-2.52972	-44.30278	America/Fortaleza
3388376	São Lourenço da Mata	BR	-8.00222	-35.01833	America/Recife
3388435	São José do Egito	BR	-7.47889	-37.27444	America/Recife
3388441	São José de Ribamar	BR	-2.56194	-44.05417	America/Fortaleza
3388443	São José de Mipibu	BR	-6.07472	-35.23778	America/Fortaleza
3388615	São João dos Patos	BR	-6.495	-43.70222	America/Fortaleza
3388714	São Gonçalo do Amarante	BR	-3.60722	-38.96833	America/Fortaleza
3388847	São Félix do Xingu	BR	-6.64472	-51.995	America/Belem
3388868	São Domingos do Maranhão	BR	-5.57583	-44.38528	America/Fortaleza
3388991	São Bento	BR	-6.28333	-37.75	America/Fortaleza
3389006	São Bento	BR	-2.69583	-44.82139	America/Fortaleza
3389321	Santa Rita	BR	-7.11389	-34.97806	America/Fortaleza
3389353	Santarém	BR	-2.44306	-54.70833	America/Santarem
3389358	Santa Quitéria do Maranhão	BR	-3.51556	-42.54667	America/Fortaleza
3389361	Santa Quitéria	BR	-4.33194	-40.15667	America/Fortaleza
3389384	Santana do Ipanema	BR	-9.37833	-37.24528	America/Maceio
3389557	Santa Luzia	BR	-7.64265	-47.21738	America/Fortaleza
3389609	Santa Inês	BR	-3.66667	-45.38	America/Fortaleza
3389622	Santa Helena	BR	-2.23111	-45.3	America/Fortaleza
3389652	Santa Cruz do Capibaribe	BR	-7.9575	-36.20472	America/Recife
3389673	Santa Cruz	BR	-6.22944	-36.02278	America/Fortaleza
3389822	Salinópolis	BR	-0.61361	-47.35611	America/Belem
3389860	Salgueiro	BR	-8.07417	-39.11917	America/Recife
3390160	Russas	BR	-4.94028	-37.97583	America/Fortaleza
3390288	Rio Largo	BR	-9.47833	-35.85333	America/Maceio
3390295	Rio Formoso	BR	-8.66877	-35.16277	America/Recife
3390326	Ribeirão	BR	-8.51444	-35.37778	America/Recife
3390760	Recife	BR	-8.05389	-34.88111	America/Recife
3390901	Quixeramobim	BR	-5.19917	-39.29278	America/Fortaleza
3390907	Quixadá	BR	-4.97139	-39.01528	America/Fortaleza
3391220	Presidente Dutra	BR	-5.29	-44.49	America/Fortaleza
3391360	Santana	BR	-0.05833	-51.18167	America/Belem
3391397	Porto Calvo	BR	-9.045	-35.39833	America/Maceio
3391412	Portel	BR	-1.93556	-50.82111	America/Belem
3391556	Pombos	BR	-8.14139	-35.39583	America/Recife
3391571	Pombal	BR	-6.77028	-37.80167	America/Fortaleza
3391908	Piripiri	BR	-4.27333	-41.77694	America/Fortaleza
3391991	Piracuruca	BR	-3.92806	-41.70917	America/Fortaleza
3392054	Pinheiro	BR	-2.52139	-45.0825	America/Fortaleza
3392088	Pindaré Mirim	BR	-3.60833	-45.34333	America/Fortaleza
3392126	Pilar	BR	-9.59722	-35.95667	America/Maceio
3392167	Picos	BR	-7.07694	-41.46694	America/Fortaleza
3392242	Petrolina	BR	-9.39861	-40.50083	America/Recife
3392243	Jatobá	BR	-9.18306	-38.26889	America/Recife
3392251	Pesqueira	BR	-8.35778	-36.69639	America/Recife
3392345	Pentecoste	BR	-3.79278	-39.27028	America/Fortaleza
3392368	Penalva	BR	-3.29417	-45.17361	America/Fortaleza
3392431	Pedro II	BR	-4.42472	-41.45861	America/Fortaleza
3392629	Pedra Branca	BR	-5.45417	-39.71722	America/Fortaleza
3392734	Paulo Afonso	BR	-9.40611	-38.21472	America/Bahia
3392740	Paulista	BR	-7.94083	-34.87306	America/Recife
3392887	Patos	BR	-7.02444	-37.28	America/Fortaleza
3392998	Parnamirim	BR	-5.91556	-35.26278	America/Fortaleza
3393001	Parnaíba	BR	-2.90472	-41.77667	America/Fortaleza
3393008	Parintins	BR	-2.62833	-56.73583	America/Manaus
3393017	Parelhas	BR	-6.68778	-36.6575	America/Fortaleza
3393091	Paraipaba	BR	-3.43944	-39.14833	America/Fortaleza
3393106	Paragominas	BR	-2.96667	-47.48333	America/Belem
3393115	Paracuru	BR	-3.41	-39.03056	America/Fortaleza
3393264	Palmares	BR	-8.68333	-35.59167	America/Recife
3393400	Pacatuba	BR	-3.98417	-38.62028	America/Fortaleza
3393409	Pacajus	BR	-4.1725	-38.46056	America/Fortaleza
3393452	Ouricuri	BR	-7.8825	-40.08167	America/Recife
3393465	Orós	BR	-6.24444	-38.91361	America/Fortaleza
3393471	Oriximiná	BR	-1.76556	-55.86611	America/Santarem
3393536	Olinda	BR	-8.00889	-34.85528	America/Recife
3393764	Oeiras	BR	-7.02528	-42.13111	America/Fortaleza
3393768	Ábidos	BR	-1.9175	-55.51806	America/Santarem
3393832	Nova Russas	BR	-4.70667	-40.56306	America/Fortaleza
3393876	Nova Cruz	BR	-6.47806	-35.43389	America/Fortaleza
3393972	Nazaré da Mata	BR	-7.74167	-35.22778	America/Recife
3394023	Natal	BR	-5.795	-35.20944	America/Fortaleza
3394116	Murici	BR	-9.30667	-35.94333	America/Maceio
3394453	Moreno	BR	-8.11861	-35.09222	America/Recife
3394500	Morada Nova	BR	-5.10667	-38.3725	America/Fortaleza
3394549	Monteiro	BR	-7.88944	-37.12	America/Fortaleza
3394605	Monte Alegre	BR	-2.00082	-54.08102	America/Santarem
3394649	Mombaça	BR	-5.74306	-39.6275	America/Fortaleza
3394661	Moju	BR	-1.88389	-48.76889	America/Belem
3394682	Mossoró	BR	-5.1875	-37.34417	America/Fortaleza
3394745	Mocajuba	BR	-2.58417	-49.50722	America/Belem
3395062	Maués	BR	-3.38361	-57.71861	America/Manaus
3395077	Matriz de Camaragibe	BR	-9.15167	-35.53333	America/Maceio
3395380	Mari	BR	-7.06	-35.31944	America/Fortaleza
3395395	Marechal Deodoro	BR	-9.71028	-35.895	America/Maceio
3395458	Maragogi	BR	-9.01222	-35.2225	America/Maceio
3395473	Maracanaú	BR	-3.87667	-38.62556	America/Fortaleza
3395503	Marabá	BR	-5.36861	-49.11778	America/Belem
3395717	Mamanguape	BR	-6.83861	-35.12611	America/Fortaleza
3395981	Maceió	BR	-9.66583	-35.73528	America/Maceio
3395998	Macau	BR	-5.115	-36.63444	America/Fortaleza
3396016	Macapá	BR	0.03889	-51.06639	America/Belem
3396048	Macaíba	BR	-5.85833	-35.35389	America/Fortaleza
3396266	Limoeiro do Norte	BR	-5.14556	-38.09806	America/Fortaleza
3396277	Limoeiro	BR	-7.87472	-35.45028	America/Recife
3396364	Lavras da Mangabeira	BR	-6.75333	-38.96444	America/Fortaleza
3396496	Lajedo	BR	-8.66361	-36.32	America/Recife
3396601	Lago da Pedra	BR	-4.28674	-45.23824	America/Fortaleza
3396769	Lagoa do Itaenga	BR	-7.93611	-35.29028	America/Recife
3397147	Juazeiro do Norte	BR	-7.21306	-39.31528	America/Fortaleza
